,Section,Confidence in Programming,Confidence in Robotics
462ceae6567f02922341683e60b46ae2,1,3,4
62f2ab9588fe30a85ca991e6f583f60b,1,2,3
e82121cd5a152eb31a70f0b825276f93,1,5,4
7d2e22e3eb0be0c2cfed7105c4deb204,1,5,5
329597efa796da072a050bea5e5f2a80,1,5,2
3c994b1833512db7cfa0a8fea2b7e235,1,3,3
dfd1d73c0f8444f03ce8af0cc554531e,1,3,3
c9dac67447a8cd2490f7b61299053a7c,1,2,3
4180337e110a64c8f27cbf2989455a08,1,3,3
245acfeba6042d8594309f78d64f1c71,1,2,1
15e35aceff34750e9e0ced8fab39b564,1,2,3
7f78c0f356240aae40dbc5ecb192c9d5,1,3,3
afb383ebb02cc773a0481f6ce90b4725,1,2,4
cd68f68022802ef5684787dad30f5949,2,3,3
2d46097959ee648f9f118b348e1bfa48,2,3,4
181bd117437eaf9184f046f88249738e,2,2,3
da1ee1e530487231943de0ebae081b12,2,3,3
11b525388bda642112267660a49db0fc,2,5,5
19b7c28e35a6fb2e3a0329d17572be94,2,5,4
e04ff973cc2415de12de6fa16f407895,2,4,2
1c78af1569466f07f9a969d5fbbf165b,2,3,3
b243659060f7440c82e41110dccef16b,2,4,3
e799ba996abb9f7855597a359ebad82b,2,2,4
68328f105bd56d3daf90b9d7c723f139,2,5,5
df7a360d2db4e779d8b9da22002f4975,2,2,3
9bc4f6f43aabe41139bf73188d1cc741,2,4,4
18c383def30c06d5c6f2fcfde6ffcb50,2,1,1
864b31a9a2f601806ad9f8e5e406d160,2,2,3
cc3571a08c4cd70aa7d7828c31a0652c,3,4,3
3f3ed8ae1ac5b3533722a7ec7dd2ad89,3,5,3
9c8cab2386a074aca0ac5ccfad8a1b2c,3,5,4
45376fe02ec8255c05dac30fe94eadae,3,2,1
f34833bcc5ad6017a3fcfb3bd5c5a1cb,3,4,4
b5800c2423fc88ebbb3728945a227fd3,3,4,3
3dbb5893552c04de26b59484f6477a93,3,4,4
9c40a1d7a326ee55c5ca69ae91da37f1,3,4,4
de8a10af44522b77fe5bd6d6b29461a0,3,3,1
23832fd06666f5e3482fb79c173e893e,3,4,2
cd4f9cbcedda24e33f2a708b6881cb00,3,4,1
d3b6c312915d74a57249e96d341fd29e,4,1,2
9e7fdbb297eb7ef62c9c9ae2b6b5859a,4,4,4
ca3828f85cc7bc9e79cd04d91da8995c,4,3,3
531d9143f8fcf2635b09af514a545ccf,4,3,3
dc2e38a8b7e90f82e4438768cab91d5a,4,4,3
7ac30191a89ac5b23e76b7e91cb04be2,2,3,3
e79a9aa182046b7d01b068451e8076f8,4,4,3
675832a97a4c908243fc739d2037ea5c,4,3,3
ca62f7b6b7c84ab97d5646dbfe8e522a,1,4,4
2111841f62a6d8d492426f8a5bc72f43,4,3,3
429601479464e62e891ef1a39910f655,4,2,2
a83fc110e81fdf476aba53461df0adaa,4,4,3
cdb1e1c300e7166f9ec7d9fd63e713e9,4,5,5
9f98038b17666e5001978515c7bbf513,4,4,3
3f6d9444285c91334a8336bf8e5f7f8e,4,3,3
a4bc65a88e8edf68d8e62cfaae8a5b7a,3,4,3
